Date,Stock,Open,High,Low,Close,Adj Close,Volume
03/09/2021,NVDA,22.32500076,22.98600006,22.20000076,22.84300041,22.80579948,280532000
07/09/2021,NVDA,22.83300018,22.89900017,22.52199936,22.66200066,22.62509537,198107000
08/09/2021,NVDA,22.51300049,22.61000061,21.97699928,22.3390007,22.30262184,254434000
09/09/2021,NVDA,22.31200027,22.53800011,22.13100052,22.17700005,22.14088821,196856000
10/09/2021,NVDA,22.34799957,22.62599945,22.27000046,22.47800064,22.44139862,248376000
13/09/2021,NVDA,22.68400002,22.9640007,21.8579998,22.15200043,22.11592865,297500000
14/09/2021,NVDA,22.27499962,22.40999985,22.08600044,22.24200058,22.20578194,199755000
15/09/2021,NVDA,22.30900002,22.36700058,21.9659996,22.3409996,22.30461884,166538000
16/09/2021,NVDA,22.18300056,22.27700043,21.92700005,22.24200058,22.20578194,156033000
17/09/2021,NVDA,22.29999924,22.32099915,21.82999992,21.89999962,21.86433792,294503000
20/09/2021,NVDA,21.14599991,21.43300056,20.66200066,21.11300087,21.0786171,349440000
21/09/2021,NVDA,21.41699982,21.42499924,20.95000076,21.24600029,21.21140099,204688000
22/09/2021,NVDA,21.36599922,21.95999908,21.19599915,21.94099998,21.90526962,268726000
23/09/2021,NVDA,22.13999939,22.53499985,21.88999939,22.48200035,22.44538879,248555000
24/09/2021,NVDA,22.06999969,22.14900017,21.86100006,22.08099937,22.04504013,217655000
27/09/2021,NVDA,21.70999908,21.79899979,21.32500076,21.65999985,21.62472916,245215000
28/09/2021,NVDA,21.2140007,21.41900063,20.65099907,20.6989994,20.66529274,343069000
29/09/2021,NVDA,20.94000053,21.0170002,20.46699905,20.5170002,20.48359299,218394000
30/09/2021,NVDA,20.76799965,21.06599998,20.68799973,20.7159996,20.68226624,221009000
01/10/2021,NVDA,20.75,20.85899925,20.20299911,20.74200058,20.70822525,240978000
04/10/2021,NVDA,20.50399971,20.54199982,19.55500031,19.73200035,19.69986916,345635000
05/10/2021,NVDA,19.95000076,20.64800072,19.85400009,20.45100021,20.41769981,279282000
06/10/2021,NVDA,20.12000084,20.71999931,20.07999992,20.70000076,20.66629028,297202000
07/10/2021,NVDA,21.09199905,21.3220005,20.97200012,21.07500076,21.04068375,256919000
